Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
UBSFY,UBISOFT ENTMT UNSP/ADR,Pink Limited,0.960100,0.032366,92694,ADRs,France,
TSYHF,TRAVEL SKY TECH LTD,Pink Limited,1.365000,0.020179,20867,Foreign Ordinary Shares,China,
PCSV,PCS EDVENTURES!.COM INC,OTCQB,0.125000,0.004016,60000,Common Stock,USA,Idaho
TUWOY,TULLOW OIL PLC UNSP/ADR,Pink Limited,0.052000,0.000000,587976,ADRs,United Kingdom,
GLXZ,GALAXY GAMING INC,OTCQB,1.700000,-0.017341,31853,Common Stock,USA,Nevada
AMFL,AMERICAN FILMS INC,OTCID,0.050000,0.015435,12500,Common Stock,USA,Florida
TZPC,THERMAFREEZE PRODS CORP,OTCID,0.017000,0.075949,300,Common Stock,China,
PKTX,PROTOKINETIX INC,Pink Limited,0.006800,-0.132321,321951,Common Stock,USA,Ohio
NWBO,NORTHWEST BIOTHRPUTCS INC,OTCQB,0.235450,0.005251,1462260,Common Stock,USA,Maryland
AMLH,AMER LEISURE HLDGS INC,Pink Limited,0.000001,-0.990000,110000,Common Stock,USA,Florida
ADMQ,ADM ENDEAVORS INC,OTCQB,0.026500,-0.009346,35600,Common Stock,USA,Texas
ZNCXF,ZINCX RES CORP,Pink Limited,0.050000,-0.110320,6681,Foreign Ordinary Shares,Canada,British Columbia
NUGL,NUGL INC,OTCID,0.001800,0.065089,2295020,Common Stock,USA,California
TCRI,TECHCOM INC,Pink Limited,0.120000,0.090909,860,Common Stock,USA,Delaware
SCFR,SECURITY FIRST INT HL NEW,Pink Limited,0.155000,0.000000,4360,Common Stock,USA,Florida
BBLR,BUBBLR INC,OTCID,0.004000,-0.130435,68118,Common Stock,USA,Wyoming
CMDXF,COMPUTER MODELLING GRP,Pink Limited,3.047000,0.039932,48909,Foreign Ordinary Shares,Canada,Alberta
WDGJF,WOOD GROUP JOHN PLC,Pink Limited,0.350000,-0.020431,4999,Foreign Ordinary Shares,United Kingdom,Scotland
