Ticker,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Dollars,Exit_Reason
AVGO,2024-08-19 09:50:00-04:00,159.47,2024-08-19 10:15:00-04:00,157.8,-21.45,Stop Loss
AVGO,2024-09-06 09:50:00-04:00,135.57,2024-09-06 12:50:00-04:00,135.43,-2.66,Time Stop
AVGO,2024-09-23 09:45:00-04:00,167.7,2024-09-23 10:00:00-04:00,166.73,-12.01,Stop Loss
AVGO,2024-09-26 10:50:00-04:00,174.11,2024-09-26 13:50:00-04:00,174.77,7.12,Time Stop
AVGO,2024-09-27 09:55:00-04:00,171.91,2024-09-27 11:15:00-04:00,169.97,-23.04,Stop Loss
AVGO,2025-01-03 10:20:00-05:00,227.06,2025-01-03 11:25:00-05:00,230.27,27.94,Take Profit
AVGO,2025-01-14 14:55:00-05:00,221.82,2025-01-14 15:40:00-05:00,220.66,-10.83,Stop Loss
AVGO,2025-02-20 10:05:00-05:00,222.65,2025-02-20 10:55:00-05:00,221.18,-13.57,Stop Loss
AVGO,2025-02-24 09:50:00-05:00,212.98,2025-02-24 10:00:00-05:00,210.66,-22.2,Stop Loss
AVGO,2025-02-25 09:50:00-05:00,201.54,2025-02-25 11:30:00-05:00,198.76,-27.94,Stop Loss
AVGO,2025-03-04 10:15:00-05:00,179.2,2025-03-04 11:55:00-05:00,183.44,46.82,Take Profit
AVGO,2025-03-14 10:05:00-04:00,191.46,2025-03-14 10:45:00-04:00,193.33,19.15,Take Profit
AVGO,2025-03-25 09:45:00-04:00,187.55,2025-03-25 10:05:00-04:00,189.02,15.27,Take Profit
AVGO,2025-04-14 09:45:00-04:00,178.49,2025-04-14 11:45:00-04:00,175.19,-37.46,Stop Loss
AVGO,2025-05-07 14:05:00-04:00,198.1,2025-05-07 14:55:00-04:00,200.52,24.04,Take Profit
AVGO,2025-07-08 14:30:00-04:00,271.43,2025-07-08 15:35:00-04:00,270.42,-7.76,Stop Loss
AVGO,2025-07-10 09:55:00-04:00,274.08,2025-07-10 10:05:00-04:00,271.68,-17.84,Stop Loss
AVGO,2025-07-16 09:50:00-04:00,275.03,2025-07-16 10:10:00-04:00,277.73,19.33,Take Profit
AVGO,2025-08-01 09:45:00-04:00,280.18,2025-08-01 10:00:00-04:00,284.14,28.01,Take Profit
AVGO,2025-08-13 09:55:00-04:00,311.55,2025-08-13 10:10:00-04:00,310.11,-9.51,Stop Loss
AVGO,2025-08-20 09:45:00-04:00,284.26,2025-08-20 12:45:00-04:00,287.45,22.16,Time Stop
AVGO,2025-09-26 10:30:00-04:00,329.63,2025-09-26 13:25:00-04:00,333.64,24.08,Take Profit
