Ticker,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Dollars,Exit_Reason,Return_Pct,Compounded_Balance
CAT,2022-12-28 09:55:00-05:00,228.81,2022-12-28 15:30:00+00:00,227.7,-10.01,Stop Loss,-0.0025025,4942.989526104604
NSC,2022-12-28 10:25:00-05:00,229.79,2022-12-28 18:25:00+00:00,229.91,0.7,Time Stop,0.000175,4943.854549271672
ADI,2022-12-28 11:05:00-05:00,152.09,2022-12-28 19:05:00+00:00,151.92,-2.76,Time Stop,-0.00069,4940.443289632675
MCD,2023-01-04 14:25:00-05:00,244.68,2023-01-04 21:00:00+00:00,245.29,4.66,EOD Close,0.001165,4946.198906065098
CME,2023-01-09 14:20:00-05:00,154.06,2023-01-09 19:55:00+00:00,153.3,-10.41,Stop Loss,-0.0026025,4933.326423412063
V,2023-01-09 14:05:00-05:00,214.74,2023-01-09 20:10:00+00:00,213.94,-7.8,Stop Loss,-0.00195,4923.70643688641
AAPL,2023-01-10 10:40:00-05:00,126.22,2023-01-10 17:35:00+00:00,127.66,22.13,Take Profit,0.0055325,4950.9468427484835
SYK,2023-01-11 09:45:00-05:00,250.75,2023-01-11 14:55:00+00:00,247.73,-24.42,Stop Loss,-0.006105,4920.721312273505
CAT,2023-01-11 10:20:00-05:00,235.54,2023-01-11 16:00:00+00:00,234.34,-10.49,Stop Loss,-0.0026225000000000003,4907.816720632068
MCD,2023-01-12 09:50:00-05:00,247.65,2023-01-12 15:10:00+00:00,248.68,7.99,Take Profit,0.0019975,4917.620084531531
SYK,2023-01-12 09:45:00-05:00,247.28,2023-01-12 17:15:00+00:00,249.75,19.68,Take Profit,0.00492,4941.814775347426
ADI,2023-01-23 14:45:00-05:00,158.7,2023-01-23 20:35:00+00:00,159.96,15.37,Take Profit,0.0038425,4960.8036986216985
CAT,2023-01-23 14:45:00-05:00,238.88,2023-01-23 20:50:00+00:00,240.39,12.27,Take Profit,0.0030675,4976.020963967221
AVGO,2023-01-23 14:45:00-05:00,55.01,2023-01-23 20:50:00+00:00,55.42,13.36,Take Profit,0.0033399999999999997,4992.640873986871
AON,2023-01-23 14:45:00-05:00,318.5,2023-01-23 21:00:00+00:00,319.49,5.97,EOD Close,0.0014925,5000.092390491296
MCD,2023-01-27 10:50:00-05:00,252.74,2023-01-27 18:50:00+00:00,252.69,-0.71,Time Stop,-0.00017749999999999998,4999.204874091984
MRK,2023-02-01 14:25:00-05:00,96.34,2023-02-01 19:40:00+00:00,96.69,6.54,Take Profit,0.001635,5007.378574061124
TXN,2023-02-02 10:55:00-05:00,163.46,2023-02-02 16:00:00+00:00,161.27,-27.34,Stop Loss,-0.006835,4973.153141507416
AAPL,2023-02-02 14:55:00-05:00,146.71,2023-02-02 20:30:00+00:00,147.59,11.51,Take Profit,0.0028775,4987.463389672104
AVGO,2023-02-02 14:50:00-05:00,57.79,2023-02-02 20:45:00+00:00,57.53,-10.29,Stop Loss,-0.0025724999999999997,4974.6331401021735
AAPL,2023-02-13 14:45:00-05:00,150.65,2023-02-13 20:20:00+00:00,151.32,8.32,Take Profit,0.0020800000000000003,4984.980377033586
TXN,2023-02-13 14:45:00-05:00,160.78,2023-02-13 20:45:00+00:00,161.7,10.9,Take Profit,0.002725,4998.564448561003
AON,2023-02-14 10:35:00-05:00,312.21,2023-02-14 16:25:00+00:00,310.46,-11.49,Stop Loss,-0.0028725,4984.206072182511
ECL,2023-02-21 09:50:00-05:00,154.55,2023-02-21 15:05:00+00:00,153.25,-17.39,Stop Loss,-0.0043475,4962.537236283698
CME,2023-02-21 09:50:00-05:00,163.34,2023-02-21 17:50:00+00:00,163.87,6.0,Time Stop,0.0015,4969.9810421381235
NSC,2023-02-22 14:30:00-05:00,208.17,2023-02-22 19:55:00+00:00,207.15,-10.21,Stop Loss,-0.0025525,4957.295165528066
AXP,2023-02-22 14:55:00-05:00,167.34,2023-02-22 21:00:00+00:00,167.95,6.81,EOD Close,0.0017024999999999998,4965.734960547377
MCD,2023-02-24 09:45:00-05:00,244.98,2023-02-24 15:45:00+00:00,243.53,-12.14,Stop Loss,-0.003035,4950.663954942116
ECL,2023-02-24 09:45:00-05:00,150.65,2023-02-24 16:45:00+00:00,152.48,23.76,Take Profit,0.00594,4980.070898834472
UNP,2023-02-24 09:45:00-05:00,177.29,2023-02-24 16:50:00+00:00,178.74,15.95,Take Profit,0.0039875,4999.928931543574
UNP,2023-03-01 14:15:00-05:00,194.4,2023-03-01 21:00:00+00:00,194.25,-1.95,EOD Close,-0.0004875,4997.491466189447
CAT,2023-03-07 10:05:00-05:00,239.2,2023-03-07 17:10:00+00:00,237.63,-13.42,Stop Loss,-0.003355,4980.724882320382
AAPL,2023-03-10 09:45:00-05:00,146.96,2023-03-10 15:00:00+00:00,148.27,17.28,Take Profit,0.00432,5002.241613812006
ECL,2023-03-17 09:45:00-04:00,151.73,2023-03-17 14:10:00+00:00,150.88,-11.7,Stop Loss,-0.0029249999999999996,4987.610057091606
MCD,2023-03-17 09:50:00-04:00,250.3,2023-03-17 14:30:00+00:00,249.25,-8.7,Stop Loss,-0.002175,4976.762005217432
MCD,2023-03-21 09:45:00-04:00,250.49,2023-03-21 16:45:00+00:00,250.97,3.51,Time Stop,0.0008774999999999999,4981.12911387701
MRK,2023-03-24 09:45:00-04:00,94.19,2023-03-24 14:45:00+00:00,93.75,-10.27,Stop Loss,-0.0025675,4968.340064877131
JPM,2023-03-30 10:00:00-04:00,119.31,2023-03-30 14:50:00+00:00,120.12,12.94,Take Profit,0.003235,4984.412644987009
UNP,2023-04-03 10:50:00-04:00,186.0,2023-04-03 17:40:00+00:00,184.91,-12.11,Stop Loss,-0.0030275,4969.322335704312
AXP,2023-04-03 10:50:00-04:00,156.93,2023-04-03 17:50:00+00:00,157.0,0.38,Time Stop,9.5e-05,4969.7944213262035
CAT,2023-04-03 11:10:00-04:00,218.06,2023-04-03 18:10:00+00:00,219.15,9.63,Time Stop,0.0024075000000000004,4981.7592013955455
UNP,2023-04-04 09:45:00-04:00,184.59,2023-04-04 14:20:00+00:00,183.77,-9.34,Stop Loss,-0.002335,4970.126793660287
JPM,2023-04-04 09:45:00-04:00,119.34,2023-04-04 15:15:00+00:00,118.49,-14.99,Stop Loss,-0.0037475,4951.501243501046
CME,2023-04-10 09:45:00-04:00,169.18,2023-04-10 16:45:00+00:00,170.05,9.81,Time Stop,0.0024525000000000003,4963.644800300732
ECL,2023-04-12 14:35:00-04:00,159.36,2023-04-12 19:25:00+00:00,158.77,-7.87,Stop Loss,-0.0019675,4953.87882915614
V,2023-04-12 14:30:00-04:00,222.92,2023-04-12 19:45:00+00:00,222.23,-6.52,Stop Loss,-0.00163,4945.804006664615
ADI,2023-04-12 14:35:00-04:00,178.5,2023-04-12 19:55:00+00:00,177.84,-7.89,Stop Loss,-0.0019725,4936.048408261469
AAPL,2023-04-17 09:45:00-04:00,162.18,2023-04-17 16:45:00+00:00,161.98,-2.96,Time Stop,-0.00074,4932.395732439356
SYK,2023-04-18 11:10:00-04:00,282.2,2023-04-18 18:10:00+00:00,283.84,11.31,Take Profit,0.0028275,4946.342081372828
AAPL,2023-04-20 14:30:00-04:00,164.31,2023-04-20 19:05:00+00:00,163.79,-6.84,Stop Loss,-0.00171,4937.883836413681
ECL,2023-04-20 14:35:00-04:00,158.63,2023-04-20 19:15:00+00:00,158.25,-5.24,Stop Loss,-0.00131,4931.415208587979
AVGO,2023-04-20 14:40:00-04:00,61.04,2023-04-20 19:20:00+00:00,60.7,-12.49,Stop Loss,-0.0031225,4916.016864599162
ECL,2023-04-25 10:30:00-04:00,159.94,2023-04-25 14:50:00+00:00,160.56,7.22,Take Profit,0.001805,4924.890275039764
CAT,2023-04-26 14:15:00-04:00,208.25,2023-04-26 18:50:00+00:00,207.46,-7.99,Stop Loss,-0.0019975,4915.052806715372
MRK,2023-04-27 09:45:00-04:00,102.41,2023-04-27 16:45:00+00:00,103.02,11.13,Time Stop,0.0027825000000000003,4928.728941150057
ECL,2023-04-28 14:35:00-04:00,161.98,2023-04-28 19:55:00+00:00,162.54,6.42,Take Profit,0.001605,4936.639551100603
NSC,2023-04-28 14:05:00-04:00,189.51,2023-04-28 20:00:00+00:00,189.89,3.59,EOD Close,0.0008975,4941.070185097716
TXN,2023-05-01 14:30:00-04:00,151.82,2023-05-01 19:30:00+00:00,152.39,6.94,Take Profit,0.001735,4949.64294186886
AAPL,2023-05-01 14:30:00-04:00,167.0,2023-05-01 20:00:00+00:00,167.16,1.44,EOD Close,0.00035999999999999997,4951.4248133279325
AVGO,2023-05-08 09:45:00-04:00,59.72,2023-05-08 15:05:00+00:00,60.32,18.79,Take Profit,0.004697499999999999,4974.684131388541
