Ticker,Entry Time,Exit Time,Entry Price,Exit Price,Exit Reason,Shares,PnL
UBER,2025-08-07 13:00:00-04:00,2025-08-07 15:30:00-04:00,90.24,91.83,TP (3R Target),11.0816,17.56
UBER,2025-08-11 13:45:00-04:00,2025-08-11 15:20:00-04:00,90.81,90.75,SL / Trail Exit,11.012,-0.66
UBER,2025-08-26 13:45:00-04:00,2025-08-26 15:20:00-04:00,96.02,96.66,TP (3R Target),10.4145,6.61
UBER,2025-09-09 13:05:00-04:00,2025-09-09 13:40:00-04:00,94.56,94.53,SL / Trail Exit,10.5747,-0.42
UBER,2025-09-09 13:55:00-04:00,2025-09-09 14:05:00-04:00,94.52,94.19,SL / Trail Exit,10.5798,-3.49
UBER,2025-09-09 14:30:00-04:00,2025-09-09 15:40:00-04:00,94.53,95.26,TP (3R Target),10.5781,7.62
UBER,2025-09-15 13:10:00-04:00,2025-09-15 14:35:00-04:00,97.76,97.81,SL / Trail Exit,10.2291,0.56
UBER,2025-09-15 14:45:00-04:00,2025-09-15 15:45:00-04:00,97.8,98.46,EOD Cutoff,10.2249,6.75
UBER,2025-09-18 15:05:00-04:00,2025-09-18 15:45:00-04:00,94.56,94.35,EOD Cutoff,10.5747,-2.27
UBER,2025-10-06 13:25:00-04:00,2025-10-06 15:10:00-04:00,100.76,100.79,SL / Trail Exit,9.9246,0.3
UBER,2025-10-08 14:50:00-04:00,2025-10-08 15:45:00-04:00,99.19,99.29,EOD Cutoff,10.0812,0.96
UBER,2025-10-28 13:30:00-04:00,2025-10-28 13:45:00-04:00,96.38,97.28,TP (3R Target),10.3756,9.29
UBER,2026-03-17 15:05:00-04:00,2026-03-17 15:45:00-04:00,78.52,78.28,EOD Cutoff,12.7356,-3.06
DDOG,2024-04-09 13:05:00-04:00,2024-04-09 14:05:00-04:00,125.75,125.47,Time Stop (Stagnant),7.9523,-2.23
DDOG,2024-04-11 13:05:00-04:00,2024-04-11 14:50:00-04:00,129.41,129.72,SL / Trail Exit,7.7274,2.36
DDOG,2024-04-11 15:15:00-04:00,2024-04-11 15:45:00-04:00,130.04,131.14,EOD Cutoff,7.6899,8.46
DDOG,2024-04-24 13:10:00-04:00,2024-04-24 14:10:00-04:00,127.03,126.88,Time Stop (Stagnant),7.8722,-1.22
DDOG,2024-04-24 14:50:00-04:00,2024-04-24 15:45:00-04:00,127.18,127.19,EOD Cutoff,7.8629,0.04
DDOG,2024-05-06 14:40:00-04:00,2024-05-06 15:40:00-04:00,125.58,125.71,SL / Trail Exit,7.9631,1.04
